"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Exemples (skos:example)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"placeType/arc%20de%20triomphe",,"PlaceType","arc de triomphe",,"« Un arc de triomphe, et plus généralement un arc monumental, est une structure libre monumentale enjambant une voie et utilisant la forme architecturale de l’arc avec un ou plusieurs passages voûtés. » (Source : Wikipédia.)",,"Carrousel, arc de triomphe du (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzugmmr0--buw9116kzhyx]","placeType/monument%20comm%C3%A9moratif","monument commémoratif",,"https://data.bnf.fr/ark:/12148/cb11977585k | http://www.idref.fr/027814785/id | http://www.wikidata.org/entity/Q143912 | http://fr.dbpedia.org/resource/Arc_de_triomphe",,,,,"2026-02-23 : Concept ajouté."
"placeType/arrondissement",,"PlaceType","arrondissement français",,"« L’arrondissement est une circonscription administrative de la France, à savoir une zone géographique résultant d’une division du territoire national à des fins de gestion administrative. Apparu en l’an VIII (1800), il constitue une subdivision intermédiaire entre le département et le canton, et se trouve rapidement assimilé à la sous-préfecture. Dépourvu de personnalité juridique depuis 1940 (abolition du conseil et du scrutin), il sert de cadre à l’action de l’État sur ce territoire et devient, depuis la réduction cantonale de 2015, une division supra-communale. Un arrondissement porte généralement le nom de son chef-lieu (la sous-préfecture, sauf s’il s’agit de la préfecture du département) et est administré par un sous-préfet (sauf l’arrondissement dont le chef-lieu est également celui du département, qui est administré par le secrétaire général de préfecture). » (Source : Wikipédia.)","Ne pas confondre avec les arrondissements municipaux",,"placeType/unit%C3%A9%20administrative%20fran%C3%A7aise","unité administrative française",,"http://www.wikidata.org/entity/Q194203",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/arrondissement%20municipal",,"PlaceType","arrondissement municipal",,"« Les arrondissements municipaux sont une subdivision territoriale des communes de Lyon, Marseille et Paris. » (Source : Wikipédia.)","utilisé uniquement pour les villes de Paris, Lyon et Marseille","14e arrondissement (Paris, France ; 1860-....) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_022-d3nyv8kgpz-117o9k86ze75x]","placeType/unit%C3%A9%20administrative%20fran%C3%A7aise","unité administrative française",,,,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s)"
"placeType/asile",,"PlaceType","asile",,"Un asile est un « établissement hospitalier destiné au traitement des malades mentaux ». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés.)",,"Les Petites-Maisons, asile (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzukgmj8--bw46kywks2jx]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://data.culture.fr/thesaurus/resource/ark:/67717/T96-293 | https://data.bnf.fr/ark:/12148/cb13318477x | http://fr.dbpedia.org/resource/H%C3%B4pital_psychiatrique",,,,"2026-02-23 : Concept ajouté."
"placeType/asile-ouvroir",,"PlaceType","asile-ouvroir",,"Dans la France de la fin du XIXe siècle et du début du XXe siècle, un asile-ouvroir est à la fois un lieu d’hébergement et un atelier où sont reçus et travaillent des hommes ou des femmes (parfois des mères célibataires) en situation précaire. (Source : publication du Centre d’action sociale de la ville de Paris, Du refuge à la réinsertion sociale : 120 ans d’accueil et d’assistance à Paris, consultée le 19 mars 2026 à l’adresse https://www.calameo.com/books/000197834b43bac63a257).",,"Gérando, asile-ouvroir (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuizgky--1tlafhzrh47ro]","placeType/lieu%20d%E2%80%99assistance%20ou%20de%20protection%20sociale","lieu d’assistance ou de protection sociale",,,,,,,"2026-02-23 : Concept ajouté."
"placeType/autoroute",,"PlaceType","autoroute",,"« Une autoroute est une voie de communication routière à chaussées séparées, réservée à la circulation à vitesse élevée des véhicules motorisés (automobiles, motos, camions et autocars). » (Source : Wikipédia.)",,"autoroute A4 (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nz8cokjq--1t7rzmzlw78im]","placeType/voie","voie",,"http://www.wikidata.org/entity/Q46622 | https://data.bnf.fr/ark:/12148/cb119310012 | http://fr.dbpedia.org/resource/Autoroute",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/avenue",,"PlaceType","avenue",,"Une avenue est « une grande voie urbaine ou une plus petite plantée d’arbres, et à la campagne ou en forêt, une avenue est un chemin frayé dans la nature ». (Source : Wikipédia.)",,"avenue de la Nation (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzc6mxp1--1bxa6ua5d7qmk]","placeType/voie","voie",,"http://www.wikidata.org/entity/Q7543083 | http://fr.dbpedia.org/resource/Avenue",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/baie",,"PlaceType","baie",,"En géographie, une baie est une échancrure du littoral mais aussi de la berge d’un lac. Une baie est moins grande qu’un golfe et moins profonde qu’une rade. Une baie de petite dimension est plutôt appelée anse. Si l’échancrure est de très petite dimension, on parle d’une crique. En général, un ou plusieurs fleuves se jettent dans une baie. (D’après Wikipédia.)",,"Baie de Morlaix (Finistère) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-2jwmv8dmv--1nk7ti03it1dc]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,,"http://data.ign.fr/id/codes/topo/typedezai/Baie",,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : exemple(s)"
"placeType/bain",,"PlaceType","bains",,"Les bains sont un « établissement d’hygiène permettant à la clientèle de se laver, de se détendre et de laver son linge ». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés.))",,"Vigier, bains (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuqlxec--182mr2m0qqbkk]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://data.culture.fr/thesaurus/resource/ark:/67717/T96-381 | https://data.bnf.fr/ark:/12148/cb11978599h | http://fr.dbpedia.org/resource/Bains_publics",,,,"2026-02-23 : Concept ajouté."
"placeType/balcon",,"PlaceType","balcon",,"Un balcon est un élément d’architecture consistant en une plate-forme se dégageant du mur d’un édifice. Il peut se situer dans une cour fermée et peut ne pas communiquer directement avec une pièce. (D’après Wikipédia).",,"balcon Saint-Eustache (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzd2k7jf-1sguyvayts9rl]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://www.wikidata.org/entity/Q170552 | http://fr.dbpedia.org/resource/Balcon | https://data.bnf.fr/ark:/12148/cb12273807k",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/barrage",,"PlaceType","barrage",,"Un barrage est « un ouvrage d’art construit en travers d’un cours d’eau et de sa vallée et destiné à réguler son cours ou à stocker de l’eau pour différents usages : irrigation, industrie, hydroélectricité, pisciculture, réserve d’eau potable, etc. ». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés.)",,"Lanau, barrage de (Neuvéglise ; barrage) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-b9zkmf1by-1bpf3jai67j3a]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction","placeType/%C3%A9l%C3%A9ment%20d%E2%80%99hydrographie","http://www.wikidata.org/entity/Q12323 | https://data.bnf.fr/ark:/12148/cb119470351 | http://fr.dbpedia.org/resource/Barrage",,,,,"2026-02-23 : Ajout des données suivantes : définition, exemple(s), relation(s) d’association avec des concepts du vocabulaire, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/barri%C3%A8re",,"PlaceType","barrière",,"Une barrière est une « enceinte érigée autour d’une ville pour permettre le recouvrement des taxes sur les marchandises ». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés.)","À Paris, les barrières étaient de trois sortes. Voir à ce sujet Wikipédia : Liste des barrières de Paris (https://fr.wikipedia.org/wiki/Liste_des_barri%C3%A8res_de_Paris).","Roule, barrière du (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzunvx4c--1krgtdmeunfd9]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"https://data.bnf.fr/ark:/12148/cb12356004t | http://data.culture.fr/thesaurus/resource/ark:/67717/T96-256",,,,"2026-02-23 : Concept ajouté."
"placeType/base%20a%C3%A9rienne",,"PlaceType","base aérienne","base aérienne militaire","« Une base aérienne est un aérodrome ou une partie d’un aérodrome utilisée par les forces armées d’un pays pour mettre en œuvre la composante aérienne. » (Source : Wikipédia.)",,,"placeType/am%C3%A9nagement%20ou%20b%C3%A2timent%20militaire","aménagement ou bâtiment militaire",,"http://www.wikidata.org/entity/Q695850 | https://data.bnf.fr/ark:/12148/cb11937704g | http://fr.dbpedia.org/resource/Base_a%C3%A9rienne",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/bassin",,"PlaceType","bassin",,"Un bassin est un plan d’eau artificiel",,"La Villette, bassin de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuk62i4--1bulb10635kge]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction","placeType/%C3%A9l%C3%A9ment%20d%E2%80%99hydrographie",,"http://data.culture.fr/thesaurus/resource/ark:/67717/T96-1007 | https://data.bnf.fr/ark:/12148/cb11937681n | http://fr.dbpedia.org/resource/Canal_(voie_d’eau)",,,,"2026-02-23 : Concept ajouté."
"placeType/biblioth%C3%A8que",,"PlaceType","bibliothèque",,"Une bibliothèque est un « édifice ou partie d’édifice réservé au rangement, au catalogage et à la consultation des livres, des périodiques et autres médias ». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés.)",,"Louvre, bibliothèque du (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzukr1lw--1ah3pkmq23yov]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"https://data.bnf.fr/ark:/12148/cb13318325d | http://fr.dbpedia.org/resource/Biblioth%C3%A8que",,,,,"2026-02-23 : Concept ajouté."
"placeType/boulevard",,"PlaceType","boulevard",,"« Un boulevard est une voie généralement large (quatre voies de circulation ou plus) avec souvent des allées piétonnières sur ses bords. » (Source : Wikipédia.)",,"boulevard Raspail (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzctch40-teyuun8ehowz]","placeType/voie","voie",,"http://www.wikidata.org/entity/Q54114 | http://fr.dbpedia.org/resource/Boulevard",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/bourg",,"PlaceType","bourg",,"« Un bourg est une agglomération rurale, moins importante que la ville mais plus importante que le village. Il tient lieu de centre administratif local (un droit de fortification existait à l’époque médiévale), ce qui le distingue de la simple bourgade. C’est aussi au bourg que se tient généralement le marché des villages environnants. On parle de bourg pour désigner une localité de taille intermédiaire entre le village et la ville, sans faubourg ou banlieue. Sur le plan administratif, le bourg est généralement au cœur d’une commune dont peuvent dépendre des villages et hameaux. Cependant, la fonction et l’importance symbolique, économique ou politique du bourg ont pu évoluer au cours des siècles et le terme même a changé de sens. Ainsi, en régions d’habitat dispersé, notamment dans les régions bocagères françaises, le terme désigne simplement le chef-lieu de la commune où il arrive que l’on ne trouve guère que les quelques bâtiments publics : l’église, la mairie, l’école, un commerce. » (Source : Wikipédia.)",,,"placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20humaine","élément de géographie humaine",,"http://fr.dbpedia.org/resource/Bourg",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/bourse",,"PlaceType","bourse",,"Une bourse, au sens économique et financier, est un marché réglementé qui permet de découvrir et d’afficher le prix d’actifs standardisés et d’en faciliter les échanges dans des conditions de sécurité satisfaisante pour l’acheteur et le vendeur. Par extension, le terme désigne également le lieu, souvent un bâtiment emblématique, où se tiennent ces transactions et où se rassemblent courtiers et opérateurs financiers. (D’après Wikipédia.)",,"Commerce, bourse du (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzug0yn2-4ekzncd5ea3m]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,,"http://www.wikidata.org/entity/Q10882966",,,,"2026-02-23 : Concept ajouté."
"placeType/boutique",,"PlaceType","boutique",,"Une boutique est un « local au rez-de-chaussée d’un édifice, ouvert sur la voie publique, destiné à une activité commerciale ». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés.)",,"Palais de Justice, boutique (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cug5jq3-orcuesjyw0ue]","placeType/%C3%A9difice%20ou%20local%20commercial","édifice ou local commercial",,"http://www.wikidata.org/entity/Q1068824","https://data.bnf.fr/ark:/12148/cb119766650 | http://fr.dbpedia.org/resource/Commerce_de_d%C3%A9tail",,,,"2026-02-23 : Concept ajouté."
"placeType/camp%20de%20concentration",,"PlaceType","camp de concentration",,"« Un camp de concentration est un lieu fermé de grande taille construit pour regrouper et pour détenir une population considérée comme ennemie, généralement dans de très mauvaises conditions de vie. Cette population peut se composer d’opposants politiques, de ressortissants de pays avec lesquels le pays d’accueil est en état de guerre, de groupes ethniques ou religieux spécifiques, de civils d’une zone critique de combats, ou d’autres groupes humains, souvent pendant une guerre. Les personnes sont détenues en raison de critères généraux, sans procédure juridique, et non en vertu d’un jugement individuel. » (Source : Wikipédia.)",,,"placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction",,"http://www.wikidata.org/entity/Q152081 | https://data.bnf.fr/fr/ark:/12148/cb12647723k",,,,,"2026-02-23 : Ajout des données suivantes : définition, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/camp%20militaire",,"PlaceType","camp militaire",,"« Un camp militaire est un regroupement de troupes, installé temporairement ou définitivement. Il peut servir à former des recrues, ou être utilisé comme lieu de repos. » (Source : Wikipédia.)",,"Valbonne, camp militaire de la (Ain ; camp militaire) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-1xspc1r54--x16ag8a6jp1d]","placeType/am%C3%A9nagement%20ou%20b%C3%A2timent%20militaire","aménagement ou bâtiment militaire",,"http://www.wikidata.org/entity/Q1198413 | https://data.bnf.fr/fr/ark:/12148/cb119939854",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/canal",,"PlaceType","canal",,"Un canal est un « cours d’eau artificiel de section ouverte, navigable ou non. On distingue les canaux qui servent à transporter de l’eau (canaux d’alimentation, de drainage, d’irrigation, etc.) et les canaux où l’eau sert à porter des engins de transport (canaux de navigation) ». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés.)",,"Saint-Martin, canal (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuovvc8-1w3u8xggvroc7]","placeType/am%C3%A9nagement%20ou%20construction","aménagement ou construction","placeType/%C3%A9l%C3%A9ment%20d%E2%80%99hydrographie","http://www.wikidata.org/entity/Q12284 | https://data.bnf.fr/ark:/12148/cb11937681n | http://fr.dbpedia.org/resource/Canal_(voie_d’eau)",,,,,"2026-02-23 : Ajout des données suivantes : définition, exemple(s), relation(s) d’association avec des concepts du vocabulaire, relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/canton",,"PlaceType","canton français",,"« Un canton en France est la circonscription d’élection des conseillers départementaux, membres du conseil départemental. » (Source : Wikipédia.)",,,"placeType/unit%C3%A9%20administrative%20fran%C3%A7aise","unité administrative française",,,,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition"
"placeType/cap",,"PlaceType","cap",,"« Un cap ou une pointe est une avancée des terres dans une étendue d’eau et constituant une proéminence du littoral. » (Source : Wikipédia.)",,"Janet, cap (Bouches-du-Rhône ; cap) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_005-d-69765uo6u--1uc8lcnzjzk7x]","placeType/%C3%A9l%C3%A9ment%20de%20g%C3%A9ographie%20physique","élément de géographie physique",,"http://www.wikidata.org/entity/Q185113",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/carrefour",,"PlaceType","carrefour",,"Un carrefour routier est « une zone comprise à l’intérieur du prolongement des bordures (ou des rives) de deux chaussées qui se coupent à angle droit, ou presque droit. Plus généralement, il s’agit de la zone dans laquelle des véhicules circulant sur des routes qui se coupent à un angle quelconque peuvent se rencontrer ». (Source : Wikipédia.)",,"carrefour aux Vaches (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_025-d3nzdm911i--1skkim6l7usg2]","placeType/voie","voie",,"http://www.wikidata.org/entity/Q285783 | http://fr.dbpedia.org/resource/Carrefour",,,,,"2026-02-23 : Ajout des données suivantes : exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
"placeType/caserne",,"PlaceType","caserne",,"Une caserne est une « construction destinée au logement des troupes. La caserne est un édifice isolé ou un bâtiment compris dans un ouvrage de fortification : dans ce dernier cas, elle est souvent casematée ». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés.)",,"Assomption, caserne de l’ (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzuf1vgm-1bevd7p41d98w]","placeType/am%C3%A9nagement%20ou%20b%C3%A2timent%20militaire","aménagement ou bâtiment militaire",,"https://data.bnf.fr/ark:/12148/cb11948010x | http://fr.dbpedia.org/resource/Caserne","http://www.wikidata.org/entity/Q131263",,,,"2026-02-23 : Concept ajouté."
"placeType/cath%C3%A9drale",,"PlaceType","cathédrale",,"Une cathédrale est une « église principale d’un diocèse, siège de l’évêque, desservie autrefois par un chapitre de chanoines ». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés.)",,"Notre-Dame, cathédrale (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3nzum12ec-kyzlpjuajk5l]","placeType/%C3%A9glise","église",,"http://www.wikidata.org/entity/Q2977 | https://data.bnf.fr/ark:/12148/cb119360734 | http://fr.dbpedia.org/resource/Cath%C3%A9drale",,,,"http://data.culture.fr/thesaurus/resource/ark:/67717/T96-90","2026-02-23 : Concept ajouté."
"placeType/chapelle",,"PlaceType","chapelle",,"Une chapelle est une « petite église isolée sans fonction paroissiale ». (Source : Thésaurus de la désignation des œuvres architecturales et des espaces aménagés.)",,"Notre-Dame-de-l’Assomption, chapelle (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cugd4o8-14qerj9vdcabu]","placeType/%C3%A9glise","église",,"http://www.wikidata.org/entity/Q108325 | https://data.bnf.fr/ark:/12148/cb119822058 | http://fr.dbpedia.org/resource/Chapelle",,,,,"2026-02-23 : Concept ajouté."
"placeType/ch%C3%A2teau",,"PlaceType","château",,"Au Moyen Âge, un château est une demeure seigneuriale ou royale, en général fortifiée et défendue par des douves. Par la suite, c’est une demeure de grandes dimensions liée à une vaste propriété et comprenant généralement parc, domaine forestier et dépendances, ainsi qu’une ferme située à l’écart. (D’après le Thésaurus de la désignation des œuvres architecturales et des espaces aménagés.)",,"Bercy, château de (Paris, France) [https://rdf.archives-nationales.culture.gouv.fr/place/FRAN_RI_026-d3m0cuh0cy5-1r9vcqq4eg0s0]","placeType/%C3%A9difice%20%C3%A0%20usage%20d%E2%80%99habitation","édifice à usage d’habitation",,"http://www.wikidata.org/entity/Q751876 | https://data.bnf.fr/ark:/12148/cb119311647 | http://fr.dbpedia.org/resource/Château",,,,,"2026-02-23 : Correction de la relation vers le concept générique. Ajout des données suivantes : définition, exemple(s), relation(s) sémantique(s) vers des concepts d’autres vocabulaires."
